symbol,name,cik,sicCode,industryTitle,businessAddress,phoneNumber
"None","BERKSHIRE MULTIFAMILY DEBT FUND II, L.P.","0001718487","","","ONE BEACON STREET, BOSTON MA 02018","617-694-9264",
"None","BERKSHIRE MULTIFAMILY VALUE FUND II LP","0001418405","","","c/o Berkshire Property Advisors LLC, Boston MA 02108","(617) 646-2300",
"None","BERKSHIRE PARTNERS","0001461632","","","850 N. WYOMISSING BLVD., WYOMISSING PA 19610","610-374-5125",
"None","BERKSHIRE DHC LLC","0001494036","","","C/O DAWN HOMES REALTY INVESTORS LLC, NEW YORK NY 10036","212-479-6483",
"BGRY","BERKSHIRE GREY, INC.","0001824734","3569","GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC","140 SOUTH ROAD, BEDFORD MA 01730","(833) 848-9900",
"None","BERKSHIRE FUND IX-A (IND), L.P.","0001658321","","","C/O NINTH BERKSHIRE ASSOCIATES LLC, BOSTON MA 02116","617-227-0050",
"None","BERKSHIRE MULTIFAMILY EQUITY FUND, L.P.","0001530306","","","ONE BEACON STREET, BOSTON MA 02108","617-646-2300",
"None","BERKSHIRE MULTIFAMILY VALUE PLUS FUND IV (INTERNATIONAL), LP","0001681424","","","ONE BEACON STREET, 24TH FLOOR, BOSTON MA 02018","(617) 694-9264",
"BHLB","BERKSHIRE HILLS BANCORP INC","0001108134","6036","SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED","60 STATE STREET, BOSTON MA 02109","617-641-9206",
"None","BERKSHIRE BANCORP, INC.","0001475422","","","1101 WOODLAND ROAD, WYOMISSING PA 19610","610-376-7200",
"None","BERKSHIRE FUND X (IND), L.P.","0001817372","","","C/O BERKSHIRE PARTNERS LLC, BOSTON MA 02116","617-227-0050",
"None","PC BERKSHIRE, LLC","0001582711","","","1474 E 820 N, OREM UT 84097","801-341-0300",
"None","BERKSHIRE FUND IX (IND), L.P.","0001658322","","","C/O NINTH BERKSHIRE ASSOCIATES LLC, BOSTON MA 02116","617-227-0050",
"None","PC BERKSHIRE HOLDINGS, LLC","0001626610","","","4956 N. 300 W., SUITE 300, PROVO X1 84604","801-341-0300",
"None","BERKSHIRE MULTIFAMILY INCOME REALTY FUND REIT","0001664988","","","ONE BEACON STREET, BOSTON MA 02108","617-646-2300",
"None","FREEMAN BERKSHIRES, LLC","0001827897","","","391 E.LAS COLINAS BLVD, IRVING TX 75039","917-808-6377",
"None","BERKSHIRE FUND IX-A COINVESTMENT FUND, L.P.","0001723608","","","C/O BERKSHIRE PARTNERS LLC,, BOSTON MA 02116","(617) 227-0050",
"None","BERKSHIRE MULTIFAMILY VALUE PLUS FUND IV, LP","0001681426","","","ONE BEACON STREET, 24TH FLOOR, BOSTON MA 02018","(617) 694-9264",
"None","BERKSHIRE FF MULTIFAMILY CO-INVESTMENT FUND, L.P.","0001568060","","","ONE BEACON STREET, BOSTON MA 02108","617-646-2300",
"None","BERKSHIRE FUND VIII (IND), L.P.","0001514461","","","C/O EIGHTH BERKSHIRE ASSOCIATES LLC, BOSTON MA 02116","617-227-0050",
"None","BERKSHIRE MULTIFAMILY INCOME REALTY FUND, L.P.","0001655335","","","ONE BEACON STREET, SUITE 1500, BOSTON MA 02108","617-646-2300",
"None","BERKSHIRE COURT APARTMENTS, LLC","0001698687","","","304 PARKVILLE-STATION ROAD, STE.301, MANTUA NJ 08051","609-970-7506",
"None","BERKSHIRE SP HEDGED EQUITY INSTITUTIONAL, LLC","0001553725","","","11711 N. MERIDIAN ST. SUITE 600, CARMEL IN 46032","(317) 843-5678",
"None","KEMBLE BERKSHIRES, LLC","0001881847","","","391 E. COLINAS BLVD, IRVING TX 75039","(917) 808-6377",
"None","BERKSHIRE FUND VIII, L.P.","0001514470","","","C/O EIGHTH BERKSHIRE ASSOCIATES LLC, BOSTON MA 02116","617-227-0050",
"None","BERKSHIRE PARTNERS GP PARTICIPATION #1, LLC","0001654687","","","215 QUEENS ROAD, CHARLOTTE NC 28204","704-927-1941",
"None","BERKSHIRE MULTIFAMILY REIT III","0001599604","","","ONE BEACON STREET, BOSTON MA 02108","6176462315",
"None","BERKSHIRE MULTIFAMILY USA PROPERTY PARTNERS REIT","0001631538","","","ONE BEACON STREET, BOSTON MA 02108","617-556-1588",
"None","BERKSHIRE FUND VIII-A, L.P.","0001514454","","","C/O EIGHTH BERKSHIRE ASSOCIATES LLC, BOSTON MA 02116","617-227-0050",
"None","BERKSHIRE SP HEDGED EQUITY FUND 2021-2, LLC","0001849832","","","11711 NORTH MERIDIAN STREET, SUITE 600, CARMEL IN 46032","317-805-5084",
"None","BERKSHIRE BANCORP INC /DE/","0000759718","6022","STATE COMMERCIAL BANKS","160 BROADWAY, NEW YORK NY 10038","2127915362",
"None","BERKSHIRE MULTIFAMILY EQUITY FUND (REIT), L.P.","0001530332","","","ONE BEACON STREET, BOSTON MA 02108","617-646-2300",
"None","BERKSHIRE FUND IX, L.P.","0001658315","","","C/O NINTH BERKSHIRE ASSOCIATES LLC, BOSTON MA 02116","617-227-0050",
"None","BERKSHIRE SPE LLC","0001678242","","","520 SW SIXTH AVENUE SUITE 610, PORTLAND OR 97204","(503) 224-9854",
"None","BERKSHIRE MULTIFAMILY DEBT FUND III-A, L.P.","0001833703","","","C/O BERKSHIRE RESIDENTIAL INVESTMENTS, BOSTON MA 02108","(617) 646-2300",
"None","BERKSHIRE FUND IX-A, L.P.","0001658319","","","C/O NINTH BERKSHIRE ASSOCIATES LLC, BOSTON MA 02116","617-227-0050",
"None","BERKSHIRE WELCO, LLC","0001747067","","","264 MAIN STREET, 3RD FLOOR, GREAT BARRINGTON MA 01230","917-750-5432",
"None","BERKSHIRE HEDGED EQUITY SEG 2021-1, LLC","0001840535","","","11711 N. MERIDIAN STREET, SUITE 600, CARMEL IN 46032","317-805-5084",
"BRK-A","BERKSHIRE HATHAWAY INC","0001067983","6331","FIRE, MARINE & CASUALTY INSURANCE","3555 FARNAM STREET, OMAHA NE 68131","4023461400",
"None","BERKSHIRE SP HEDGED EQUITY, LLC","0001553728","","","11711 N. MERIDIAN ST. SUITE 600, CARMEL IN 46032","317-843-5678",
"None","BERKSHIRE FUND X-A (IND), L.P.","0001817384","","","C/O BERKSHIRE PARTNERS LLC, BOSTON MA 02116","617-227-0050",
"None","BERKSHIRE FUND IX COINVESTMENT FUND, L.P.","0001723610","","","C/O BERKSHIRE PARTNERS LLC, BOSTON MA 02116","(617) 227-0050",
"None","BERKSHIRE FUND X, L.P.","0001817373","","","C/O BERKSHIRE PARTNERS LLC, BOSTON MA 02116","617-227-0050",
"None","BERKSHIRE VALUE FUND V (INTERNATIONAL), L.P.","0001793678","","","C/O BERKSHIRE GROUP, BOSTON MA 02108","617-646-2300",
"None","BERKSHIRE MULTIFAMILY DEBT FUND III, L.P.","0001833704","","","C/O BERKSHIRE RESIDENTIAL INVESTMENTS, BOSTON MA 02108","(617) 646-2300",
"None","BERKSHIRE VALUE FUND V, L.P.","0001793617","","","C/O BERKSHIRE GROUP, BOSTON MA 02108","617-646-2300",
"None","BERKSHIRE LONG/SHORT STRATEGIES FUND, LLC","0001901199","","","11711 NORTH MERIDIAN STREET, SUITE 600, CARMEL IN 46032","317-805-5084",
"None","BERKSHIRE ASSET MANAGEMENT LLC/PA","0000949012","","","46 PUBLIC SQUARE, WILKES BARRE PA 18701","5708252600",
"None","BERKSHIRE BRIDGE LOAN INVESTORS I, L.P.","0001746237","","","C/O BERKSHIRE GROUP, BOSTON MA 02108","671-646-2300",
"None","BERKSHIRE PARTNERS LLC","0001312988","","","200 CLARENDON STREET, BOSTON MA 02116","617-227-0050",
"None","BERKSHIRE KIND, INC.","0001812831","","","75 HENRY STREET, BROOKLYN NY 11201","410-832-2040",
"None","BERKSHIRE MULTIFAMILY VALUE PLUS FUND III, L.P.","0001568058","","","ONE BEACON STREET, BOSTON MA 02108","617-646-2300",
"None","BERKSHIRE HPC CO-INVESTOR I, L.P.","0001891411","","","200 CLARENDON STREET, 35TH FLOOR, BOSTON MA 02116","617-227-0050",
"BFOCX","BERKSHIRE FUNDS","0001030979","","","C/O BERKSHIRE CAPITAL HOLDINGS INC, SAN JOSE CA 95134-2453","4085260707",
"None","COMMUNITY BANCORP OF THE BERKSHIRES, INC.","0001921490","","","2 CENTER STREET, ADAMS MA 01220","413-743-0001",
"None","BERKSHIRE BRIDGE LOAN INVESTORS II-A, L.P.","0001887849","","","C/O BERKSHIRE GROUP, BOSTON MA 02108","617-646-2300",
"None","BERKSHIRE MONEY MANAGEMENT, INC.","0001535172","","","161 MAIN ST, DALTON MA 01226","1-888-232-6072",
"None","BERKSHIRE SPECTRE CO-INVESTOR, L.P.","0001895796","","","200 CLARENDON STREET, 35TH FLOOR, BOSTON MA 02116","617-227-0050",
"None","BERKSHIRE FGT CO-INVESTOR, L.P.","0001891409","","","200 CLARENDON STREET, 35TH FLOOR, BOSTON MA 02116","617-227-0050",
"None","BERKSHIRE BRIDGE LOAN INVESTORS II, L.P.","0001794340","","","C/O BERKSHIRE GROUP, BOSTON MA 02108","617-646-2300",
"None","BERKSHIRE FUND X-A, L.P.","0001817378","","","C/O BERKSHIRE PARTNERS LLC, BOSTON MA 02116","617-227-0050",
"None","BERKSHIRE HPC CO-INVESTOR II, L.P.","0001891410","","","200 CLARENDON STREET, 35TH FLOOR, BOSTON MA 02116","617-227-0050",
"None","BERKSHIRE PARTNERS HOLDINGS LLC","0001597786","","","200 CLARENDON STREET, BOSTON MA 02116","(617) 227-0050",
"None","BERKSHIRE HATHAWAY HOMESTATE INSURANCE CO.","0000829771","","","1314 DOUGLAS STREET, OMAHA NE 68102","4023461400",
"None","BERKSHIRE HATHAWAY ENERGY CO","0001081316","4900","ELECTRIC, GAS & SANITARY SERVICES","666 GRAND AVE, DES MOINES IA 50309-2580","515-242-4300",
"None","BERKSHIRE BANK","0001831984","","","99 NORTH STREET, PITTSFIELD MA 01201","(413) 443-5601",
"None","BERKSHIRE CAPITAL HOLDINGS INC","0001133742","","","475 MILAN DRIVE, SAN JOSE CA 95134","408-526-0707",
"BRK-B","BERKSHIRE HATHAWAY INC","0001067983","6331","FIRE, MARINE & CASUALTY INSURANCE","3555 FARNAM STREET, OMAHA NE 68131","4023461400",
"None","BERKSHIRE FUND VIII-A (IND), L.P.","0001514460","","","C/O EIGHTH BERKSHIRE ASSOCIATES LLC, BOSTON MA 02116","617-227-0050",
"None","BERKSHIRE FUND VI, LTD PARTNERSHIP","0001223654","","","BERKSHIRE PARTNERS, BOSTON MA 02116","6172270050",
"BGRYW","BERKSHIRE GREY, INC.","0001824734","3569","GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC","140 SOUTH ROAD, BEDFORD MA 01730","(833) 848-9900",
"None","BERKSHIRE HATHAWAY LIFE INSURANCE CO OF NEBRASKA","0001015867","","","1314 DOUGLAS STREET, OMAHA NE 68102","4023461400",
"None","BERKSHIRE GLOBAL ADVISORS LP","0001204130","","","527 MADISON AVENUE, NEW YORK NY 10022-4212","212-207-1056",
